Site,Sample ID,Position,Distance,Lab,?13C,?18O
GsJi,B119,1,33,WUSTL,-0.7,2.5
GsJi,B119,2,31,WUSTL,-0.7,2.4
GsJi,B119,3,29,WUSTL,-0.5,2.5
GsJi,B119,4,27.5,WUSTL,-0.5,1.9
GsJi,B119,5,26,WUSTL,0.5,2.7
GsJi,B119,6,24.5,WUSTL,-0.2,1.5
GsJi,B119,7,23,WUSTL,0,0.9
GsJi,B119,8,21.5,WUSTL,0.7,0.5
GsJi,B119,9,20,WUSTL,0.5,-0.3
GsJi,B119,10,18.5,WUSTL,0.5,0.1
GsJi,B119,11,17,WUSTL,-0.5,-0.9
GsJi,B119,12,15.5,WUSTL,-0.8,-1.2
GsJi,B119,13,14,WUSTL,-0.9,-0.8
GsJi,B119,14,12.5,WUSTL,-2,-0.8
GsJi,B119,15,11,WUSTL,-2.4,0.2
GsJi,B119,16,9.5,WUSTL,-3.2,-0.4
GsJi,B119,17,8,WUSTL,-2.7,0.1
GsJi,B119,18,6,WUSTL,-3,0.6
GsJi,B119,19,4,WUSTL,-3,0.5
GsJi,B119,20,2,WUSTL,-2.7,0.4
GsJi,B119,21,0.5,WUSTL,-1.8,0.5
GsJi,B384,1,45.8,WUSTL,-0.32,3.14
GsJi,B384,2,43,WUSTL,-0.1,2.58
GsJi,B384,3,40.5,WUSTL,0.16,-0.41
GsJi,B384,4,38.1,WUSTL,0.16,-0.69
GsJi,B384,5,35.8,WUSTL,-0.02,-1.37
GsJi,B384,6,33.9,WUSTL,0.31,-2.15
GsJi,B384,7,31.6,WUSTL,0.47,-1.57
GsJi,B384,8,28.1,WUSTL,0.28,-0.71
GsJi,B384,9,26.4,WUSTL,0.54,-0.53
GsJi,B384,10,24.4,WUSTL,0.93,-0.49
GsJi,B384,11,22.4,WUSTL,0.76,-0.37
GsJi,B384,12,20.1,WUSTL,1.15,-0.86
GsJi,B384,13,18.5,WUSTL,1.45,-1.09
GsJi,B384,14,16,WUSTL,1.49,-0.65
GsJi,B384,15,14,WUSTL,1.27,-0.57
GsJi,B384,16,12,WUSTL,0.69,-0.07
GsJi,B384,17,10,WUSTL,-0.54,0.02
GsJi,B384,18,8,WUSTL,-1.24,0.21
GsJi,B384,19,6,WUSTL,-1.11,-0.27
GtJi,B58.2,1,46,WUSTL,-0.7,1
GtJi,B58.2,2,44.5,WUSTL,-1.2,1.2
GtJi,B58.2,3,43,WUSTL,-2.2,1.1
GtJi,B58.2,4,41,WUSTL,-3.4,0.6
GtJi,B58.2,5,40,WUSTL,-3.8,0.4
GtJi,B58.2,6,38,WUSTL,-4.5,0.5
GtJi,B58.2,7,36.5,WUSTL,-5.1,0.2
GtJi,B58.2,8,35,WUSTL,-5.5,-0.4
GtJi,B58.2,9,33.5,WUSTL,-6.2,-0.4
GtJi,B58.2,10,32.5,WUSTL,-5.7,0.1
GtJi,B58.2,11,31,WUSTL,-5.4,-0.5
GtJi,B58.2,12,29,WUSTL,-4.3,-0.2
GtJi,B58.2,13,27.5,WUSTL,-3.6,-1
GtJi,B58.2,14,26,WUSTL,-2.8,-1.1
GtJi,B58.2,15,24.5,WUSTL,-1.6,-1.8
GtJi,B58.2,16,22.5,WUSTL,-0.7,-1.6
GtJi,B58.2,17,21,WUSTL,-0.7,-1.3
GtJi,B58.2,18,18.5,WUSTL,-1.5,-1.1
GtJi,B58.2,19,17,WUSTL,-1.5,-1
GtJi,B58.2,20,16,WUSTL,-2.7,-0.6
GtJi,B58.2,21,14.5,WUSTL,-3.8,-0.2
GtJi,B58.2,22,13.5,WUSTL,-5,-0.2
GtJi,B58.2,23,12.5,WUSTL,-5.3,-0.6
GtJi,B58.2,24,11,WUSTL,-5.8,-0.5
GtJi,B58.2,25,9.5,WUSTL,-5.9,-0.6
GtJi,B58.2,26,8,WUSTL,-5.5,-1.37
GtJi,B58.2,27,7,WUSTL,-4.53,-1.44
GtJi,B58.2,28,5.5,WUSTL,-3.49,-1.81
GtJi,B58.2,29,4,WUSTL,-2.51,-2.01
GtJi,B58.2,30,2,WUSTL,-2.14,-1.6
GtJi,B33,1,48.5,WUSTL,-2.08,-0.31
GtJi,B33,2,47,WUSTL,-0.96,0.38
GtJi,B33,3,45.5,WUSTL,0.21,0.98
GtJi,B33,4,44,WUSTL,0.43,1.16
GtJi,B33,5,42.5,WUSTL,0.52,1.29
GtJi,B33,6,41,WUSTL,0.27,0.78
GtJi,B33,7,39,WUSTL,0.17,0.82
GtJi,B33,8,37.5,WUSTL,0.19,0.62
GtJi,B33,9,36,WUSTL,0.53,0.77
GtJi,B33,10,34.5,WUSTL,0.64,-0.39
GtJi,B33,11,33,WUSTL,0.56,-1.3
GtJi,B33,12,31.5,WUSTL,0.61,-1.91
GtJi,B33,13,30,WUSTL,0.52,-1.02
GtJi,B33,14,28.5,WUSTL,0.24,-0.88
GtJi,B33,15,27,WUSTL,0.49,-0.33
GtJi,B33,16,25.5,WUSTL,0.2,-0.56
GtJi,B33,17,24,WUSTL,0.39,-0.77
GtJi,B33,18,22.5,WUSTL,-0.21,-0.07
GtJi,B33,19,21,WUSTL,-0.62,-0.45
GtJi,B33,20,20,WUSTL,-1.12,-0.66
GtJi,B33,21,18,WUSTL,-1.5,-0.55
GtJi,B33,22,16.5,WUSTL,-1.17,-0.58
GtJi,B33,23,15,WUSTL,-0.27,-0.33
GtJi,B33,24,14,WUSTL,-0.23,-0.66
GtJi,B33,25,12.5,WUSTL,-1.09,-1.35
GtJi,B33,26,11,WUSTL,-1.56,-1.52
GtJi,B56.1,1,51.5,WUSTL,-1.13,1.3
GtJi,B56.1,2,50,WUSTL,-1.36,1.02
GtJi,B56.1,3,48,WUSTL,-1.51,1.04
GtJi,B56.1,4,46.5,WUSTL,-1.75,0.99
GtJi,B56.1,5,45,WUSTL,-2.12,1.12
GtJi,B56.1,6,43,WUSTL,-2.41,1.1
GtJi,B56.1,7,42,WUSTL,-2.46,1.18
GtJi,B56.1,8,40.5,WUSTL,-2.48,1.18
GtJi,B56.1,9,39,WUSTL,-2.4,1.15
GtJi,B56.1,10,37.5,WUSTL,-2.22,1.13
GtJi,B56.1,11,36,WUSTL,-2.19,0.82
GtJi,B56.1,12,35,WUSTL,-2.2,1.74
GtJi,B56.1,13,33.5,WUSTL,-2.43,1.24
GtJi,B56.1,14,32,WUSTL,-2.36,1.19
GtJi,B56.1,15,30.5,WUSTL,-2.23,0.82
GtJi,B56.1,16,29,WUSTL,-2.46,1.33
GtJi,B56.1,17,27.5,WUSTL,-2.93,0.64
GtJi,B56.1,18,26,WUSTL,-3.47,0.32
GtJi,B56.1,19,25,WUSTL,-3.2,0.66
GtJi,B56.1,20,23.5,WUSTL,-3.48,0.91
GtJi,B56.1,21,22,WUSTL,-3.57,1.12
GtJi,B56.1,22,20.5,WUSTL,-3.48,1.32
GtJi,B56.1,23,19,WUSTL,-2.41,2
GtJi,B56.1,24,18,WUSTL,-1.6,2.41
GtJi,B56.1,25,16.5,WUSTL,-1.32,2.59
GtJi,B56.1,26,15,WUSTL,-1.11,3.18
