Original ID,?13C,?18O,stdev 13C,stdev 18O,Distance
MPL1C-01,1.3,5.5,0.1,0.1,29.5
MPL1C-02,1.6,6.4,0.1,0.1,33.5
MPL1C-03,1.3,6.2,0.1,0.2,38
MPL1C-04,1.0,5.5,0.0,0.2,43.5
MPL1C-05,1.6,5.4,0.2,0.1,52
MPL1C-06,0.8,6.2,0.2,0.1,59.5
MPL1C-07,1.2,7.0,0.1,0.2,65
MPL1C-08,1.5,7.1,0.1,0.2,71
MPL1C-09,1.4,5.7,0.1,0.2,76
MPL1C-10,1.9,4.8,0.1,0.2,82
MPL1C-11,2.1,4.8,0.1,0.3,88
MPL1C-12,2.2,5.1,0.1,0.2,93.5
MPL1C-13,1.9,4.8,0.1,0.1,97.5
MPL1C-14,1.9,4.9,0.0,0.2,103.5
MPL1C-15,1.7,4.9,0.1,0.2,108
MPL1C-16,1.7,4.6,0.1,0.2,113.5
MPL1C-17,1.5,4.5,0.1,0.1,118
MPL1C-18,1.6,3.8,0.1,0.1,123.5
MPL1C-19,1.5,2.4,0.1,0.2,129.5
MPL1M-01,-1.3,4.9,0.1,0.2,10.5
MPL1M-02,-1.4,4.9,0.1,0.1,12.6
MPL1M-03,-1.8,5.1,0.1,0.1,14.7
MPL1M-04,-1.4,5.7,0.2,0.2,16.5
MPL1M-05,-1.4,5.4,0.1,0.2,18.4
MPL1M-06,-1.2,5.4,0.1,0.1,20.4
MPL1M-07,-1.1,4.0,0.1,0.1,22.4
MPL1M-08,-0.7,4.6,0.1,0.3,24.5
MPL1M-09,-0.6,3.9,0.0,0.1,26.7
MPL1M-10,-0.7,3.6,0.1,0.2,28.9
MPL1M-11,-0.8,3.7,0.1,0.1,31
MPL1M-12,-0.5,4.1,0.1,0.1,33.2
MPL1M-13,-0.5,3.8,0.1,0.1,35.5
MPL1M-14,-0.5,3.8,0.1,0.1,37.7
MPL1M-15,-0.4,3.6,0.1,0.1,40
MPL1M-16,-0.1,3.6,0.1,0.1,42.2
MPL1M-17,-0.5,2.5,0.0,0.1,44.8
MPL1M-18,-0.4,2.4,0.1,0.1,47.3
MPL1M-19,-0.5,2.3,0.1,0.1,49.5
MPL2M-01,-1.6,2.9,0.0,0.1,6
MPL2M-02,-1.4,3.3,0.0,0.1,8.1
MPL2M-03,-1.3,4.6,0.1,0.1,9.8
MPL2M-04,-1.1,5.1,0.1,0.1,11.5
MPL2M-05,-1.3,4.4,0.1,0.0,13.5
MPL2M-06,-1.2,4.8,0.1,0.1,15.5
MPL2M-07,-1.2,5.5,0.1,0.2,17.3
MPL2M-08,-1.1,4.5,0.1,0.1,19
MPL2M-09,-0.9,4.0,0.1,0.1,21
MPL2M-10,-0.9,3.1,0.1,0.1,23
MPL2M-11,-1.3,2.0,0.1,0.1,25.1
MPL2M-12,-1.3,2.9,0.0,0.1,26.9
MPL2M-13,-1.2,3.9,0.1,0.1,29
MPL2M-14,-0.9,4.5,0.1,0.1,31.3
MPL2M-15,-1.0,4.1,0.1,0.1,33.5
MPL2M-16,-0.9,3.6,0.1,0.2,35.7
MPL2M-17,-1.0,2.9,0.1,0.1,37.7
MPL2M-18,-1.2,2.7,0.1,0.1,39.7
MPL2M-19,-1.2,3.2,0.1,0.2,42
MPL2C-01,0.7,2.6,0.1,0.2,25
MPL2C-02,0.4,2.6,0.1,0.1,31
MPL2C-03,0.6,3.3,0.0,0.1,36.5
MPL2C-04,0.6,4.3,0.1,0.2,42
MPL2C-05,1.2,5.4,0.1,0.1,47.5
MPL2C-06,1.1,5.8,0.1,0.1,53.5
MPL2C-07,1.1,4.6,0.1,0.2,60
MPL2C-08,1.1,4.1,0.1,0.2,66
MPL2C-09,0.6,4.2,0.1,0.1,70.5
MPL2C-10,0.6,5.5,0.1,0.2,75.5
MPL2C-11,0.7,5.7,0.1,0.1,80
MPL2C-12,0.6,5.4,0.1,0.2,84.5
MPL2C-13,0.7,5.7,0.1,0.0,88.5
MPL2C-14,1.1,5.2,0.1,0.2,93.5
MPL2C-15,0.8,2.2,0.1,0.3,99
MPL2C-16,0.5,1.2,0.1,0.1,104
MPL2C-17,0.5,2.1,0.2,0.3,109.5
MPL2C-18,0.7,3.3,0.1,0.1,115.5
MPL2C-19,0.4,4.1,0.1,0.1,121
MPL2C-20,0.5,4.7,0.1,0.1,125.5
MPL2C-21,0.9,4.7,0.1,0.2,130
MPL2C-22,1.3,4.4,0.1,0.2,135
MPL2C-23,1.5,3.3,0.1,0.1,139
MPL2C-24,1.2,3.0,0.1,0.2,143.5
MPL2C-25,0.3,1.7,0.1,0.1,149
